inputName,usageKey,scientificName,canonicalName,rank,status,confidence,matchType,kingdom,phylum,class,order,family,genus,species,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,speciesKey,synonym
Pellionia heteroloba Wedd.,7300857.0,Pellionia heteroloba Wedd.,Pellionia heteroloba,SPECIES,SYNONYM,100.0,EXACT,Plantae,Tracheophyta,Magnoliopsida,Rosales,Urticaceae,Elatostema,Elatostema heterolobum,6.0,7707728.0,220.0,691.0,6639.0,2984362.0,4099443.0,
Pellionia radicans (Sieb. & Zucc.) Wedd. in DC.,7300794.0,Pellionia radicans (Siebold & Zucc.) Wedd.,Pellionia radicans,SPECIES,SYNONYM,100.0,EXACT,Plantae,Tracheophyta,Magnoliopsida,Rosales,Urticaceae,Elatostema,Elatostema radicans,6.0,7707728.0,220.0,691.0,6639.0,2984362.0,4100721.0,
Pellionia repens (Lour.) Merr.,4100799.0,Pellionia repens (Lour.) Merr.,Pellionia repens,SPECIES,SYNONYM,100.0,EXACT,Plantae,Tracheophyta,Magnoliopsida,Rosales,Urticaceae,Procris,Procris repens,6.0,7707728.0,220.0,691.0,6639.0,3234511.0,7916114.0,
Pellionia scabra Benth.,4100746.0,Pellionia scabra Benth.,Pellionia scabra,SPECIES,SYNONYM,100.0,EXACT,Plantae,Tracheophyta,Magnoliopsida,Rosales,Urticaceae,Elatostema,Elatostema scabrum,6.0,7707728.0,220.0,691.0,6639.0,2984362.0,7740279.0,
Pellionia tonkinensis Gagnep.,4100582.0,Pellionia tonkinensis Gagnep.,Pellionia tonkinensis,SPECIES,ACCEPTED,100.0,EXACT,Plantae,Tracheophyta,Magnoliopsida,Rosales,Urticaceae,Pellionia,Pellionia tonkinensis,6.0,7707728.0,220.0,691.0,6639.0,7548851.0,4100582.0,
Peltophorum dasyrrhachis (Miq.) Kurz,8110229.0,Peltophorum dasyrhachis (Miq.) Kurz,Peltophorum dasyrhachis,SPECIES,ACCEPTED,100.0,FUZZY,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Peltophorum,Peltophorum dasyrhachis,6.0,7707728.0,220.0,1370.0,5386.0,2952763.0,8110229.0,
Peltophorum pterocarpum (DC.) Backer ex K. Heyne,2952775.0,Peltophorum pterocarpum (DC.) Backer ex K.Heyne,Peltophorum pterocarpum,SPECIES,ACCEPTED,100.0,EXACT,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Peltophorum,Peltophorum pterocarpum,6.0,7707728.0,220.0,1370.0,5386.0,2952763.0,2952775.0,
Pemphis acidula Forst. & Forst. f.,3188706.0,Pemphis acidula J.R.Forst. & G.Forst.,Pemphis acidula,SPECIES,ACCEPTED,100.0,EXACT,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Lythraceae,Pemphis,Pemphis acidula,6.0,7707728.0,220.0,690.0,6684.0,3188705.0,3188706.0,
Pennisetum alopecuroides (L.) Spreng.,2706156.0,Pennisetum alopecuroides (L.) Spreng.,Pennisetum alopecuroides,SPECIES,SYNONYM,100.0,EXACT,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Cenchrus,Cenchrus alopecuroides,6.0,7707728.0,196.0,1369.0,3073.0,2703201.0,5671747.0,
Pennisetum glaucum R.Br.,2706141.0,Pennisetum glaucum (L.) R.Br.,Pennisetum glaucum,SPECIES,SYNONYM,100.0,EXACT,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Cenchrus,Cenchrus americanus,6.0,7707728.0,196.0,1369.0,3073.0,2703201.0,5828197.0,
Pentanema indicum (L.) Ling,3146531.0,Pentanema indicum (L.) Y.Ling,Pentanema indicum,SPECIES,SYNONYM,100.0,EXACT,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Vicoa,Vicoa indica,6.0,7707728.0,220.0,414.0,3065.0,6445341.0,3146542.0,
Pentapanax fragrans (D. Don) Ha,3037076.0,Pentapanax fragrans (D.Don) Ha,Pentapanax fragrans,SPECIES,SYNONYM,100.0,EXACT,Plantae,Tracheophyta,Magnoliopsida,Apiales,Araliaceae,Aralia,Aralia leschenaultii,6.0,7707728.0,220.0,1351.0,8800.0,3036858.0,3037075.0,
