id,commonNames,scientificNameWithoutAuthor,scientificNameAuthorship,gbifId,powoId,iucnCategory
1363410,"South African bluestem, Thatching grass, Tambookie grass, Coolatai grass, Common thatching grass, Coolatie grass, Tratching grass, Iarba cu Paie",Hyparrhenia hirta,(L.) Stapf,2703243,405537-1,
1651942,,Hyparrhenia newtonii,(Hack.) Stapf,4109498,405555-1,
1364644,,Hyparrhenia nyassae,(Rendle) Stapf,4109473,405558-1,
1361310,"Jaragua grass, Giant thatching grass",Hyparrhenia rufa,(Nees) Stapf,2703246,405583-1,
1412307,"Giant St John's wort, Great St Johnswort, Great St. Johnswort",Hypericum ascyron,L.,3189479,30453546-2,
1393238,Forrest's Tutsan,Hypericum forrestii,(Chitt.) N.Robson,3712539,433440-1,
1428894,Small St John's-wort,Hypericum gramineum,G.Forst.,3189498,433465-1,
1555279,,Hypericum henryi,H.Lév. & Vaniot,7329996,428473-1,
1555280,,Hypericum himalaicum,N.Robson,3711825,433489-1,
1419198,"Hooker's St. Johnswort, Hooker's hypericum",Hypericum hookerianum,Wight & Arn.,6436595,433495-1,
1428896,"Matted St. John's-wort, Matted St John's-wort, Swamp hypericum, Japanese St John's-wort, Japanese St. John's wort",Hypericum japonicum,Thunb.,7948012,323251-2,
1555420,,Hypericum reptans,Hook.f. & Thomson ex Dyer,3712281,433796-1,
1555434,,Hypericum sampsonii,Hance,3711910,433828-1,
1428898,,Hypericum uralum,Buch.-Ham. ex D.Don,3714976,433941-1,
1744020,"Thread-Stem Carpetweed, Threadstem carpetweed",Hypertelis cerviana,(L.) Thulin,9397635,77158665-1,
1408216,Bigfoot fern,Hypodematium crenatum,(Forssk.) Kuhn,4016824,17126060-1,
1385526,,Hypoestes triflora,(Forssk.) Roem. & Schult.,3776474,50026-1,
1779099,,Hypolepis tenuifolia,(G.Forst.) Bernh.,5275022,17126900-1,
1428904,"Asia star-grass, Asia yellow stars, Golden Star Grass",Hypoxis aurea,Lour.,2852790,65352-1,
1428906,Lesser roundweed,Hyptis brevipes,Poit.,7306536,447982-1,
1406363,"Knobweed, False Ironwort, Ironwort, Wild-hops",Hyptis capitata,Jacq.,2926815,447996-1,
1403037,"Caruzo, Water Grass",Ichnanthus pallens,(Sw.) Munro ex Benth.,2704501,405749-1,
1428907,Ichnocarpus,Ichnocarpus frutescens,(L.) W.T.Aiton,7778424,79384-1,
1718398,,Iguanura wallichiana,(Mart.) Benth. & Hook.f. ex Becc.,7933984,60458953-2,
1420655,"Japanese holly, Box-leaf holly, Box-leaved holly",Ilex crenata,Thunb.,5414239,83193-1,
1428912,Marsh holly,Ilex cymosa,Blume,5533710,83213-1,LC
1420664,Himalayan holly,Ilex dipyrena,Wall.,5534633,83237-1,LC
1420672,Farges’s Holly,Ilex fargesii,Franch.,7315837,83283-1,LC
1463685,,Ilex fragilis,Hook.f.,7315769,83310-1,LC
1420717,"Kurogane holly, Round-leaf holly",Ilex rotunda,Thunb.,7154501,83703-1,LC
1463992,,Ilex yunnanensis,Franch.,5533819,83885-1,LC
1688226,,Illicium parvifolium,Merr.,7314083,554531-1,LC
1688229,,Illicium simonsii,Maxim.,3592351,554541-1,LC
1409705,"Chinese star-anise, Staranise Tree, Star-anise, True star anise",Illicium verum,Hook.f.,2889756,554553-1,
1473480,Toothed busy lizzie,Impatiens arguta,Hook.f. & Thomson,4192927,373962-1,
1363815,"Balsam, Garden balsam, Touch-me-not, Rose balsam, Spotted snapweed, ꯈꯨꯖꯪ, Balsam weed, Garden Touch-me-not, Jewel Weed, నీల గోరింట (TELUGU), দোপাটি, Balsam(Gul mehndi), Pacar Air, Patience balsamina, Kamantigui, Balsamina, পাটফুল, Balsamină; Slăbănoģ, Kamantigue, گل حنا, Belsemina",Impatiens balsamina,L.,2891773,373978-1,
1428921,Broad-petaled Balsam,Impatiens platypetala,Lindl.,4193746,374276-1,
1473794,,Impatiens racemosa,DC.,7399973,374298-1,
1789979,,Impatiens santisukii,T.Shimizu,4192982,1017469-1,
1729403,Toothed busy lizzie,Impatiens spirifera,Hook.f. & Thomson,7632177,374353-1,
1397707,"Busy lizzy, Impatiens, گل حنا, Sultan's Balsam, Busy Lizzie, Bizzy lizzy, Balsam, Zanzibar balsam, Sultana, Sultan's flower, Garden impatiens, Patience plant, Patient Lucy, Buzzy lizzy, Maria-sem-vergonha (Brasil), Indoor Beauty, Pink rose, امپیشن, Teresita, Pacar Air, Madagascar periwinkle, Impatiens x hybrids hort, Red spot, Busy-Lissie, Besitos",Impatiens walleriana,Hook.f.,2891772,374419-1,
1363401,"Sharp grass, Alang-alang, Blady grass, Cogon grass, Japgrass, Satintail, Speargrass, Lalang, Silver spikegrass, Japanese blood grass, Kunai grass, Cogon Satin-tail, Cottonwool grass, Sword Grass, Elephant grass, Woollygrass, Red Baron, దర్భగడ్డి, Bloodgrass, Striped Grass",Imperata cylindrica,(L.) Raeusch.,8424006,30138371-2,
1596280,,Indianthus virgatus,(Roxb.) Suksathan & Borchs.,3920483,77098027-1,
1748501,"Bengal indigo, Java indigo, Natal indigo, African indigo",Indigofera arrecta,Hochst. ex A.Rich.,2972067,498996-1,
1367442,"Silky indigo, Hairy Indigo",Indigofera astragalina,DC.,2972077,499007-1,
1729405,Purpleflower indigo,Indigofera atropurpurea,Buch.-Ham. ex Hornem.,2972187,499014-1,LC
1729407,,Indigofera cassioides,Rottler ex DC.,2971507,499119-1,
1359259,,Indigofera coerulea,Roxb.,2971772,60468367-2,
1423609,"Rusty Indigo, Sticky indigo",Indigofera colutea,(Burm.f.) Merr.,8425549,499156-1,
1747873,,Indigofera cordifolia,B.Heyne ex Roth,2972128,499181-1,
1729408,,Indigofera cylindracea,Graham ex Baker,2971533,499204-1,
1729409,,Indigofera dosua,Buch.-Ham. ex D.Don,2972135,499275-1,
1367601,,Indigofera galegoides,DC.,2971494,499375-1,LC
1408928,,Indigofera glabra,L.,2971427,499388-1,
1367457,"Trailing indigo, Creeping indigo, Spicate indigo",Indigofera hendecaphylla,Jacq.,2971634,499440-1,
1402841,"Hairy indigo, Rough hairy indigo, Roughhairy indigo",Indigofera hirsuta,L.,2972082,499456-1,
